ticker,name,index,sector
MMM,3M,SP500,Industrials
AOS,A. O. Smith,SP500,Industrials
ABT,Abbott Laboratories,SP500,Healthcare
ABBV,AbbVie,SP500,Healthcare
ACN,Accenture,SP500,Technology
ADBE,Adobe Inc.,SP500,Technology
AMD,Advanced Micro Devices,SP500,Technology
AES,AES Corporation,SP500,Utilities
AFL,Aflac,SP500,Financial Services
A,Agilent Technologies,SP500,Healthcare
APD,Air Products,SP500,Basic Materials
ABNB,Airbnb,SP500,Consumer Cyclical
AKAM,Akamai Technologies,SP500,Technology
ALB,Albemarle Corporation,SP500,Basic Materials
ARE,Alexandria Real Estate Equities,SP500,Real Estate
ALGN,Align Technology,SP500,Healthcare
ALLE,Allegion,SP500,Industrials
LNT,Alliant Energy,SP500,Utilities
ALL,Allstate,SP500,Financial Services
GOOGL,Alphabet Inc. (Class A),SP500,Communication Services
GOOG,Alphabet Inc. (Class C),SP500,Communication Services
MO,Altria,SP500,Consumer Defensive
AMZN,Amazon,SP500,Consumer Cyclical
AMCR,Amcor,SP500,Consumer Cyclical
AEE,Ameren,SP500,Utilities
AEP,American Electric Power,SP500,Utilities
AXP,American Express,SP500,Financial Services
AIG,American International Group,SP500,Financial Services
AMT,American Tower,SP500,Real Estate
AWK,American Water Works,SP500,Utilities
AMP,Ameriprise Financial,SP500,Financial Services
AME,Ametek,SP500,Industrials
AMGN,Amgen,SP500,Healthcare
APH,Amphenol,SP500,Technology
ADI,Analog Devices,SP500,Technology
AON,Aon plc,SP500,Financial Services
APA,APA Corporation,SP500,Energy
APO,Apollo Global Management,SP500,Financial Services
AAPL,Apple Inc.,SP500,Technology
AMAT,Applied Materials,SP500,Technology
APTV,Aptiv,SP500,Consumer Cyclical
ACGL,Arch Capital Group,SP500,Financial Services
ADM,Archer Daniels Midland,SP500,Consumer Defensive
ANET,Arista Networks,SP500,Technology
AJG,Arthur J. Gallagher & Co.,SP500,Financial Services
AIZ,Assurant,SP500,Financial Services
T,AT&T,SP500,Communication Services
ATO,Atmos Energy,SP500,Utilities
ADSK,Autodesk,SP500,Technology
ADP,Automatic Data Processing,SP500,Technology
AZO,AutoZone,SP500,Consumer Cyclical
AVB,AvalonBay Communities,SP500,Real Estate
AVY,Avery Dennison,SP500,Consumer Cyclical
AXON,Axon Enterprise,SP500,Industrials
BKR,Baker Hughes,SP500,Energy
BALL,Ball Corporation,SP500,Consumer Cyclical
BAC,Bank of America,SP500,Financial Services
BAX,Baxter International,SP500,Healthcare
BDX,Becton Dickinson,SP500,Healthcare
BRK-B,Berkshire Hathaway,SP500,
BBY,Best Buy,SP500,Consumer Cyclical
TECH,Bio-Techne,SP500,Healthcare
BIIB,Biogen,SP500,Healthcare
BLK,BlackRock,SP500,Financial Services
BX,Blackstone Inc.,SP500,Financial Services
XYZ,"Block, Inc.",SP500,Technology
BK,BNY Mellon,SP500,Financial Services
BA,Boeing,SP500,Industrials
BKNG,Booking Holdings,SP500,Consumer Cyclical
BSX,Boston Scientific,SP500,Healthcare
BMY,Bristol Myers Squibb,SP500,Healthcare
AVGO,Broadcom,SP500,Technology
BR,Broadridge Financial Solutions,SP500,Technology
BRO,Brown & Brown,SP500,Financial Services
BF.B,Brown–Forman,SP500,
BLDR,Builders FirstSource,SP500,Industrials
BG,Bunge Global,SP500,Consumer Defensive
BXP,"BXP, Inc.",SP500,Real Estate
CHRW,C.H. Robinson,SP500,Industrials
CDNS,Cadence Design Systems,SP500,Technology
CZR,Caesars Entertainment,SP500,Consumer Cyclical
CPT,Camden Property Trust,SP500,Real Estate
CPB,Campbell's Company (The),SP500,Consumer Defensive
COF,Capital One,SP500,Financial Services
CAH,Cardinal Health,SP500,Healthcare
KMX,CarMax,SP500,Consumer Cyclical
CCL,Carnival,SP500,Consumer Cyclical
CARR,Carrier Global,SP500,Industrials
CAT,Caterpillar Inc.,SP500,Industrials
CBOE,Cboe Global Markets,SP500,Financial Services
CBRE,CBRE Group,SP500,Real Estate
CDW,CDW Corporation,SP500,Technology
COR,Cencora,SP500,Healthcare
CNC,Centene Corporation,SP500,Healthcare
CNP,CenterPoint Energy,SP500,Utilities
CF,CF Industries,SP500,Basic Materials
CRL,Charles River Laboratories,SP500,Healthcare
SCHW,Charles Schwab Corporation,SP500,Financial Services
CHTR,Charter Communications,SP500,Communication Services
CVX,Chevron Corporation,SP500,Energy
CMG,Chipotle Mexican Grill,SP500,Consumer Cyclical
CB,Chubb Limited,SP500,Financial Services
CHD,Church & Dwight,SP500,Consumer Defensive
CI,Cigna,SP500,Healthcare
CINF,Cincinnati Financial,SP500,Financial Services
CTAS,Cintas,SP500,Industrials
CSCO,Cisco,SP500,Technology
C,Citigroup,SP500,Financial Services
CFG,Citizens Financial Group,SP500,Financial Services
CLX,Clorox,SP500,Consumer Defensive
CME,CME Group,SP500,Financial Services
CMS,CMS Energy,SP500,Utilities
KO,Coca-Cola Company (The),SP500,Consumer Defensive
CTSH,Cognizant,SP500,Technology
COIN,Coinbase,SP500,Financial Services
CL,Colgate-Palmolive,SP500,Consumer Defensive
CMCSA,Comcast,SP500,Communication Services
CAG,Conagra Brands,SP500,Consumer Defensive
COP,ConocoPhillips,SP500,Energy
ED,Consolidated Edison,SP500,Utilities
STZ,Constellation Brands,SP500,Consumer Defensive
CEG,Constellation Energy,SP500,Utilities
COO,Cooper Companies (The),SP500,Healthcare
CPRT,Copart,SP500,Industrials
GLW,Corning Inc.,SP500,Technology
CPAY,Corpay,SP500,Technology
CTVA,Corteva,SP500,Basic Materials
CSGP,CoStar Group,SP500,Real Estate
COST,Costco,SP500,Consumer Defensive
CTRA,Coterra,SP500,Energy
CRWD,CrowdStrike,SP500,Technology
CCI,Crown Castle,SP500,Real Estate
CSX,CSX Corporation,SP500,Industrials
CMI,Cummins,SP500,Industrials
CVS,CVS Health,SP500,Healthcare
DHR,Danaher Corporation,SP500,Healthcare
